Time,Road_FR_mu,FR_x,FR_y,FR_z,Road_FL_mu,FL_x,FL_y,FL_z,Road_RR_mu,RR_x,RR_y,RR_z,Road_RL_mu,RL_x,RL_y,RL_z,Ax,Ay,long_slip_FL,long_slip_FR,long_slip_RL,long_slip_RR,lat_slip_FL,lat_slip_FR,lat_slip_RL,lat_slip_RR
0,0.8,0.940559747576357,340.654906530493,6017.46130437444,0.8,0.940560140399129,-340.654957546657,6017.45970651905,0.8,1.32469666733718,383.723150454723,4945.28479199312,0.8,1.32469646666104,-383.723083629308,4945.28338680225,-0.0760762646667081,5.00161688563128e-08,3.64363533635286e-06,3.64363327828163e-06,5.81490755822359e-06,5.81490728269226e-06,0.00263618271743909,-0.00263618193648441,0.00336035266367905,-0.00336035258151916
0.01,0.8,-123.164315047938,339.288677116907,6038.30750037709,0.8,-123.164301448152,-339.288861999874,6038.30631112155,0.8,-109.31601295757,382.0899257534,4972.39324518684,0.8,-109.31624433996,-382.089796066127,4972.39234612808,-0.287467162052452,-1.70326274409248e-06,-0.000324464896909245,-0.000324464801550202,-0.000326945251536058,-0.000326941454449945,0.00261626983379936,-0.00261626828229462,0.00332678087230112,-0.00332678200629578
0.02,0.8,-124.592891437667,339.309017648022,6048.71091807329,0.8,-124.592883210771,-339.30913061179,6048.71001747413,0.8,-101.987934054336,381.684689983568,4979.37709390335,0.8,-101.987817096108,-381.684476701849,4979.37648018345,-0.285186821657872,1.70061542866045e-07,-0.000473368265654681,-0.000473368222086308,-0.000443115770493309,-0.000443116817940277,0.00262143005368825,-0.00262142929271167,0.00332806645933135,-0.00332806832220684
0.03,0.8,-120.122231026818,340.448666081411,6052.48239419992,0.8,-120.122225469462,-340.448698124959,6052.48170293234,0.8,-97.6900903601974,382.042687100383,4977.84007841676,0.8,-97.69011288866,-382.042426802827,4977.83957152224,-0.277495633167993,1.82938523551646e-07,-0.000468647157734501,-0.000468647142574141,-0.000421439527020154,-0.000421439594235165,0.00263113604212157,-0.0026311359282406,0.00333224574441566,-0.00333224793873144
0.04,0.8,-119.325556180855,341.568870434497,6053.28335191846,0.8,-119.32555358816,-341.568853851107,6053.28282274946,0.8,-98.0735253137711,382.113595402818,4973.15212826812,0.8,-98.0735260450739,-382.113313378356,4973.15174584741,-0.277096223237237,1.84402524834115e-07,-0.000461811431517331,-0.000461811421776434,-0.000417972022791919,-0.000417971982139078,0.00263852336300743,-0.00263852353219111,0.00333310210954755,-0.00333310443812406
0.05,0.8,-119.3325834109,342.337896292339,6052.77035361435,0.8,-119.33258247629,-342.33785577996,6052.769963555,0.8,-98.339418994846,381.771502132869,4967.21399404999,0.8,-98.3394132422929,-381.771222004616,4967.21373006379,-0.277429611478307,1.77206833483901e-07,-0.000460805759226343,-0.000460805747122815,-0.000419365894689828,-0.000419365897644925,0.00264314714349299,-0.00264314743765953,0.00333129664771493,-0.00333129892014686
0.06,0.8,-119.335776841722,342.798486576861,6051.66403298803,0.8,-119.335776714435,-342.798439283327,6051.66376855106,0.8,-98.3300865682186,381.168405131499,4960.82850644646,0.8,-98.3300835330864,-381.168145563975,4960.82834989456,-0.277538291930436,1.57755180078195e-07,-0.000460881544607718,-0.000460881532972219,-0.000419788855609561,-0.000419788858887407,0.00264595719954945,-0.00264595751531332,0.00332819758715149,-0.00332819966000752
0.07,0.8,-119.324040542521,343.071002686758,6050.2740437664,0.8,-119.324041305208,-343.070958758848,6050.27389417769,0.8,-98.2509121641804,380.459277775277,4954.39301637217,0.8,-98.2509121017523,-380.459051932151,4954.39295584665,-0.27756557852339,1.30720848273929e-07,-0.00046095499784221,-0.00046095498757546,-0.000419770695288557,-0.000419770690487942,0.00264785053435397,-0.00264785080820735,0.00332478794900915,-0.0033247897246479
0.08,0.8,-119.320919083106,343.253794993508,6048.73606805078,0.8,-119.320920847076,-343.253759830004,6048.73602282124,0.8,-98.1417726828693,379.748073816618,4948.12687695543,0.8,-98.141775176597,-379.747890241359,4948.12690140208,-0.277564861854733,9.97521518434056e-08,-0.00046102348672489,-0.000461023477164962,-0.000419633782838435,-0.000419633771789813,0.00264940975750396,-0.00264940995740131,0.00332164254197079,-0.00332164395831211
0.09,0.8,-119.324072601209,343.408140192074,6047.11492710433,0.8,-119.324075321238,-343.408115834721,6047.11497524789,0.8,-98.0168050103162,379.094827506131,4942.15875812014,0.8,-98.0168096711297,-379.094691175698,4942.15885680528,-0.277546501656316,6.73465385956756e-08,-0.0004611068346814,-0.000461106825470836,-0.000419433147534073,-0.000419433131677397,0.00265095505873003,-0.00265095517617972,0.00331906180089025,-0.00331906282269326
